coach_name,coach_id,class_start_time,class_day_of_week,class_date,class_type,muscle_focus_upper,muscle_focus_lower,client_name,client_id,subscription_plan
Benton Watts,C006,07:45,Sunday,2025-11-30,Focus,Arm Wrap,Center Glutes,Harper Morgan,CL008,4_per_month
Dette Ellis,C013,09:15,Wednesday,2025-12-03,Focus,Biceps,Center Glutes,Harper Morgan,CL008,4_per_month
Tylor Tquinn,C007,11:15,Saturday,2025-12-13,Foundation,Triceps,Center Glutes,Harper Morgan,CL008,4_per_month
Benton Watts,C006,07:00,Sunday,2025-12-14,Focus,Shoulders,Outer Glutes,Harper Morgan,CL008,4_per_month
Benton Watts,C006,11:30,Wednesday,2025-12-17,Foundation,Arm Wrap,Outer Glutes,Harper Morgan,CL008,4_per_month
Phoenix Green,C012,06:15,Thursday,2025-01-02,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Hayden Klo,C001,15:00,Friday,2025-01-03,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Benton Watts,C006,11:15,Saturday,2025-01-04,Foundation,Back,Outer Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,20:15,Sunday,2025-01-05,Focus,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,21:00,Tuesday,2025-01-07,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Casey Hugh,C004,13:00,Wednesday,2025-01-08,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,13:30,Sunday,2025-01-12,Advanced,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,17:15,Wednesday,2025-01-15,Advanced,Back,Leg Wrap,Harper Shah,CL009,unlimited
Kendall Jones,C015,15:45,Monday,2025-01-20,Advanced,Back,Leg Wrap,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,11:45,Saturday,2025-01-25,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,21:30,Sunday,2025-01-26,Foundation,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Hayden Klo,C001,16:30,Monday,2025-01-27,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Riley Chen,C009,13:00,Wednesday,2025-01-29,Focus,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Riley Chen,C009,13:15,Thursday,2025-01-30,Foundation,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Avery Harve,C002,17:15,Friday,2025-01-31,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Kendall Jones,C015,21:15,Wednesday,2025-02-05,Focus,Biceps,Hamstrings,Harper Shah,CL009,unlimited
Benton Watts,C006,07:00,Friday,2025-02-07,Foundation,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Dette Ellis,C013,15:45,Monday,2025-02-10,Advanced,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,13:15,Tuesday,2025-02-11,Advanced,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,05:30,Wednesday,2025-02-12,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Morgan Patel,C010,12:15,Friday,2025-02-14,Focus,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Phoenix Green,C012,20:15,Saturday,2025-02-15,Focus,Back,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,16:15,Sunday,2025-02-16,Advanced,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,10:15,Tuesday,2025-02-18,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Kendall Jones,C015,13:45,Wednesday,2025-02-19,Foundation,Biceps,Hamstrings,Harper Shah,CL009,unlimited
Avery Harve,C002,10:45,Thursday,2025-02-20,Advanced,Shoulders,Outer Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,19:15,Friday,2025-02-21,Focus,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,15:45,Saturday,2025-02-22,Focus,Back,Leg Wrap,Harper Shah,CL009,unlimited
Riley Chen,C009,08:45,Sunday,2025-02-23,Focus,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Riley Chen,C009,17:00,Monday,2025-02-24,Focus,Back,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,14:45,Thursday,2025-02-27,Foundation,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,18:30,Sunday,2025-03-02,Focus,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,11:45,Monday,2025-03-03,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Phoenix Green,C012,08:00,Tuesday,2025-03-04,Foundation,Shoulders,Outer Glutes,Harper Shah,CL009,unlimited
Avery Harve,C002,21:45,Wednesday,2025-03-05,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,17:00,Thursday,2025-03-06,Advanced,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,09:15,Monday,2025-03-10,Advanced,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,14:45,Friday,2025-03-14,Foundation,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Kendall Jones,C015,09:15,Saturday,2025-03-15,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Alex Blake,C008,20:45,Monday,2025-03-17,Focus,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Casey Hugh,C004,11:45,Thursday,2025-03-20,Focus,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,05:15,Friday,2025-03-21,Advanced,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Hayden Klo,C001,10:15,Sunday,2025-03-23,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,06:30,Monday,2025-03-24,Foundation,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,18:15,Tuesday,2025-03-25,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Alex Blake,C008,16:00,Wednesday,2025-03-26,Foundation,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,17:00,Monday,2025-03-31,Advanced,Back,Leg Wrap,Harper Shah,CL009,unlimited
Phoenix Green,C012,14:45,Wednesday,2025-04-02,Focus,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,16:15,Thursday,2025-04-03,Focus,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,10:15,Friday,2025-04-04,Focus,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,05:45,Saturday,2025-04-05,Focus,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Dette Ellis,C013,18:45,Monday,2025-04-07,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Hayden Klo,C001,11:30,Tuesday,2025-04-08,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,21:30,Wednesday,2025-04-09,Advanced,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,17:00,Friday,2025-04-11,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,15:45,Monday,2025-04-14,Advanced,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Alex Blake,C008,09:45,Wednesday,2025-04-16,Advanced,Back,Outer Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,18:00,Thursday,2025-04-17,Advanced,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,05:15,Monday,2025-04-21,Focus,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Avery Harve,C002,09:30,Tuesday,2025-04-22,Advanced,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Sydney Romero,C011,10:45,Wednesday,2025-04-23,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,15:00,Thursday,2025-04-24,Foundation,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Kendall Jones,C015,12:30,Monday,2025-04-28,Focus,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Benton Watts,C006,20:30,Thursday,2025-05-01,Advanced,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Jon Flynn,C014,21:15,Friday,2025-05-02,Foundation,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,21:00,Saturday,2025-05-03,Foundation,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Benton Watts,C006,19:00,Sunday,2025-05-04,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,14:15,Monday,2025-05-05,Foundation,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,15:45,Tuesday,2025-05-06,Focus,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,13:00,Wednesday,2025-05-07,Foundation,Back,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,16:30,Saturday,2025-05-10,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,07:30,Monday,2025-05-12,Focus,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Hayden Klo,C001,09:00,Thursday,2025-05-15,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,06:00,Friday,2025-05-16,Focus,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,16:30,Saturday,2025-05-17,Foundation,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Kendall Jones,C015,19:15,Wednesday,2025-05-21,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Alex Blake,C008,14:45,Saturday,2025-05-24,Focus,Biceps,Hamstrings,Harper Shah,CL009,unlimited
Jon Flynn,C014,13:30,Sunday,2025-05-25,Foundation,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,20:00,Monday,2025-05-26,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,19:45,Tuesday,2025-06-03,Focus,Biceps,Hamstrings,Harper Shah,CL009,unlimited
Riley Chen,C009,10:45,Wednesday,2025-06-04,Foundation,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Jon Flynn,C014,18:45,Thursday,2025-06-05,Focus,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,07:45,Friday,2025-06-06,Foundation,Back,Center Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,08:45,Tuesday,2025-06-10,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,08:45,Wednesday,2025-06-11,Foundation,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,09:00,Thursday,2025-06-12,Advanced,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,14:45,Friday,2025-06-13,Focus,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Casey Hugh,C004,15:30,Sunday,2025-06-15,Focus,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,16:00,Tuesday,2025-06-17,Focus,Back,Center Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,09:30,Thursday,2025-06-19,Foundation,Back,Leg Wrap,Harper Shah,CL009,unlimited
Hayden Klo,C001,16:00,Friday,2025-06-20,Advanced,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,17:30,Monday,2025-06-23,Focus,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,11:15,Tuesday,2025-06-24,Focus,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,16:45,Wednesday,2025-06-25,Foundation,Biceps,Hamstrings,Harper Shah,CL009,unlimited
Hayden Klo,C001,07:00,Saturday,2025-06-28,Foundation,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,16:15,Thursday,2025-07-03,Foundation,Back,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,20:15,Saturday,2025-07-05,Focus,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Kendall Jones,C015,16:00,Sunday,2025-07-06,Advanced,Back,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,16:00,Monday,2025-07-14,Focus,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Phoenix Green,C012,21:30,Tuesday,2025-07-15,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,20:00,Thursday,2025-07-17,Focus,Back,Outer Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,06:30,Sunday,2025-07-20,Focus,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,21:45,Monday,2025-07-21,Focus,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,14:30,Tuesday,2025-07-22,Foundation,Back,Outer Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,13:00,Wednesday,2025-07-23,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Morgan Patel,C010,06:30,Thursday,2025-07-24,Advanced,Back,Leg Wrap,Harper Shah,CL009,unlimited
Devon Knight,C005,20:00,Friday,2025-07-25,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,09:30,Saturday,2025-07-26,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Phoenix Green,C012,08:15,Sunday,2025-07-27,Advanced,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,10:30,Monday,2025-07-28,Advanced,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Casey Hugh,C004,16:00,Saturday,2025-08-02,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,19:45,Sunday,2025-08-03,Focus,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,17:45,Tuesday,2025-08-05,Foundation,Back,Center Glutes,Harper Shah,CL009,unlimited
Hayden Klo,C001,14:45,Wednesday,2025-08-06,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,16:45,Friday,2025-08-08,Focus,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,13:00,Monday,2025-08-11,Foundation,Back,Center Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,12:15,Wednesday,2025-08-13,Focus,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,05:00,Thursday,2025-08-14,Advanced,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Avery Harve,C002,21:00,Friday,2025-08-15,Focus,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Phoenix Green,C012,14:30,Saturday,2025-08-16,Foundation,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Hayden Klo,C001,11:00,Sunday,2025-08-17,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Jon Flynn,C014,09:45,Wednesday,2025-08-20,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Kendall Jones,C015,08:15,Monday,2025-08-25,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Sydney Romero,C011,19:30,Tuesday,2025-08-26,Advanced,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,07:30,Thursday,2025-08-28,Advanced,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Dette Ellis,C013,18:15,Tuesday,2025-09-02,Focus,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,13:00,Wednesday,2025-09-03,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Dette Ellis,C013,19:00,Thursday,2025-09-04,Advanced,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Kendall Jones,C015,06:45,Friday,2025-09-05,Foundation,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,05:45,Saturday,2025-09-06,Focus,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Riley Chen,C009,12:00,Sunday,2025-09-07,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,16:30,Tuesday,2025-09-09,Focus,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Sydney Romero,C011,07:30,Saturday,2025-09-13,Focus,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Jon Flynn,C014,19:30,Monday,2025-09-15,Focus,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,11:30,Tuesday,2025-09-16,Focus,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,07:45,Saturday,2025-09-20,Focus,Biceps,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,05:15,Tuesday,2025-09-23,Focus,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,19:00,Friday,2025-09-26,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Dette Ellis,C013,06:45,Saturday,2025-09-27,Foundation,Back,Center Glutes,Harper Shah,CL009,unlimited
Sydney Romero,C011,09:15,Sunday,2025-09-28,Advanced,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Alex Blake,C008,05:45,Monday,2025-09-29,Advanced,Back,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,20:15,Wednesday,2025-10-01,Foundation,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Benton Watts,C006,17:30,Thursday,2025-10-02,Foundation,Back,Hamstrings,Harper Shah,CL009,unlimited
Benton Watts,C006,11:00,Friday,2025-10-03,Focus,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,13:15,Saturday,2025-10-04,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,10:45,Sunday,2025-10-05,Foundation,Back,Leg Wrap,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,08:45,Monday,2025-10-06,Advanced,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Avery Harve,C002,05:00,Friday,2025-10-10,Foundation,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,20:15,Wednesday,2025-10-15,Foundation,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,12:15,Sunday,2025-10-19,Focus,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Phoenix Green,C012,20:00,Monday,2025-10-20,Focus,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,05:15,Tuesday,2025-10-21,Foundation,Back,Leg Wrap,Harper Shah,CL009,unlimited
Morgan Patel,C010,16:15,Thursday,2025-10-23,Focus,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Hayden Klo,C001,11:00,Monday,2025-10-27,Advanced,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,10:00,Thursday,2025-10-30,Foundation,Triceps,Outer Glutes,Harper Shah,CL009,unlimited
Casey Hugh,C004,18:30,Friday,2025-10-31,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Casey Hugh,C004,15:15,Saturday,2025-11-01,Advanced,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Avery Harve,C002,12:45,Sunday,2025-11-02,Advanced,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Avery Harve,C002,20:45,Monday,2025-11-03,Foundation,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Casey Hugh,C004,19:15,Tuesday,2025-11-04,Foundation,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,11:30,Thursday,2025-11-06,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,06:00,Saturday,2025-11-08,Foundation,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,18:15,Tuesday,2025-11-11,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Morgan Patel,C010,10:15,Friday,2025-11-14,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Avery Harve,C002,18:45,Saturday,2025-11-15,Advanced,Biceps,Center Glutes,Harper Shah,CL009,unlimited
Jon Flynn,C014,19:30,Sunday,2025-11-16,Foundation,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Casey Hugh,C004,15:45,Monday,2025-11-17,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Kendall Jones,C015,05:45,Tuesday,2025-11-18,Advanced,Arm Wrap,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,21:00,Monday,2025-11-24,Focus,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Dette Ellis,C013,08:45,Thursday,2025-11-27,Focus,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Dette Ellis,C013,09:45,Monday,2025-12-01,Foundation,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Phoenix Green,C012,05:00,Tuesday,2025-12-02,Foundation,Triceps,Leg Wrap,Harper Shah,CL009,unlimited
Devon Knight,C005,18:30,Wednesday,2025-12-03,Focus,Back,Hamstrings,Harper Shah,CL009,unlimited
Dette Ellis,C013,07:30,Thursday,2025-12-04,Focus,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Kendall Jones,C015,06:00,Friday,2025-12-05,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Benton Watts,C006,16:15,Saturday,2025-12-06,Focus,Arm Wrap,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,15:15,Sunday,2025-12-07,Focus,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Dette Ellis,C013,12:30,Monday,2025-12-08,Foundation,Triceps,Center Glutes,Harper Shah,CL009,unlimited
Devon Knight,C005,06:00,Tuesday,2025-12-09,Foundation,Shoulders,Center Glutes,Harper Shah,CL009,unlimited
Riley Chen,C009,21:00,Wednesday,2025-12-10,Focus,Back,Outer Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,16:00,Thursday,2025-12-11,Foundation,Shoulders,Leg Wrap,Harper Shah,CL009,unlimited
Avery Harve,C002,17:15,Friday,2025-12-12,Foundation,Arm Wrap,Leg Wrap,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,13:00,Saturday,2025-12-13,Focus,Shoulders,Hamstrings,Harper Shah,CL009,unlimited
Jon Flynn,C014,11:00,Sunday,2025-12-14,Foundation,Back,Hamstrings,Harper Shah,CL009,unlimited
Alex Blake,C008,16:45,Monday,2025-12-15,Focus,Arm Wrap,Outer Glutes,Harper Shah,CL009,unlimited
Casey Hugh,C004,07:00,Tuesday,2025-12-16,Advanced,Biceps,Outer Glutes,Harper Shah,CL009,unlimited
Tylor Tquinn,C007,15:30,Wednesday,2025-12-17,Focus,Back,Center Glutes,Harper Shah,CL009,unlimited
Alex Blake,C008,14:15,Friday,2025-12-19,Advanced,Triceps,Hamstrings,Harper Shah,CL009,unlimited
Finley Yaroslavsky,C003,16:30,Thursday,2025-01-02,Focus,Biceps,Hamstrings,Harper Young,CL010,4_per_month
Phoenix Green,C012,14:15,Wednesday,2025-01-08,Advanced,Biceps,Hamstrings,Harper Young,CL010,4_per_month
Casey Hugh,C004,08:00,Thursday,2025-01-09,Advanced,Back,Hamstrings,Harper Young,CL010,4_per_month
Alex Blake,C008,13:30,Friday,2025-01-10,Foundation,Back,Leg Wrap,Harper Young,CL010,4_per_month
Sydney Romero,C011,15:30,Sunday,2025-01-12,Foundation,Shoulders,Hamstrings,Harper Young,CL010,4_per_month
Riley Chen,C009,14:00,Thursday,2025-01-16,Advanced,Shoulders,Center Glutes,Harper Young,CL010,4_per_month
Dette Ellis,C013,09:45,Saturday,2025-01-25,Advanced,Biceps,Leg Wrap,Harper Young,CL010,4_per_month
Alex Blake,C008,14:15,Monday,2025-02-10,Advanced,Shoulders,Outer Glutes,Harper Young,CL010,4_per_month
Phoenix Green,C012,08:45,Tuesday,2025-02-11,Advanced,Biceps,Leg Wrap,Harper Young,CL010,4_per_month
Devon Knight,C005,05:45,Monday,2025-02-17,Focus,Biceps,Center Glutes,Harper Young,CL010,4_per_month
Benton Watts,C006,07:30,Tuesday,2025-02-18,Foundation,Biceps,Hamstrings,Harper Young,CL010,4_per_month
Dette Ellis,C013,13:15,Friday,2025-02-21,Foundation,Back,Center Glutes,Harper Young,CL010,4_per_month
Sydney Romero,C011,07:45,Sunday,2025-02-23,Foundation,Triceps,Leg Wrap,Harper Young,CL010,4_per_month
Tylor Tquinn,C007,16:00,Wednesday,2025-03-05,Foundation,Triceps,Outer Glutes,Harper Young,CL010,4_per_month
Alex Blake,C008,07:15,Wednesday,2025-03-12,Focus,Shoulders,Center Glutes,Harper Young,CL010,4_per_month
Dette Ellis,C013,19:30,Thursday,2025-03-13,Foundation,Shoulders,Center Glutes,Harper Young,CL010,4_per_month
Finley Yaroslavsky,C003,07:15,Friday,2025-03-14,Foundation,Shoulders,Outer Glutes,Harper Young,CL010,4_per_month
Avery Harve,C002,17:00,Sunday,2025-03-23,Foundation,Triceps,Center Glutes,Harper Young,CL010,4_per_month
Finley Yaroslavsky,C003,19:15,Monday,2025-03-31,Foundation,Shoulders,Outer Glutes,Harper Young,CL010,4_per_month
Jon Flynn,C014,14:45,Wednesday,2025-04-02,Focus,Shoulders,Hamstrings,Harper Young,CL010,4_per_month
Hayden Klo,C001,05:15,Thursday,2025-04-10,Foundation,Shoulders,Leg Wrap,Harper Young,CL010,4_per_month
Sydney Romero,C011,14:45,Wednesday,2025-04-16,Foundation,Biceps,Leg Wrap,Harper Young,CL010,4_per_month
Avery Harve,C002,13:45,Sunday,2025-04-27,Advanced,Arm Wrap,Outer Glutes,Harper Young,CL010,4_per_month
Devon Knight,C005,20:00,Wednesday,2025-05-14,Foundation,Back,Leg Wrap,Harper Young,CL010,4_per_month
Jon Flynn,C014,13:15,Friday,2025-05-16,Focus,Biceps,Outer Glutes,Harper Young,CL010,4_per_month
Alex Blake,C008,09:30,Monday,2025-05-19,Foundation,Triceps,Outer Glutes,Harper Young,CL010,4_per_month
Tylor Tquinn,C007,16:00,Wednesday,2025-05-28,Foundation,Back,Leg Wrap,Harper Young,CL010,4_per_month
Dette Ellis,C013,08:15,Friday,2025-06-06,Focus,Triceps,Outer Glutes,Harper Young,CL010,4_per_month
Devon Knight,C005,16:00,Saturday,2025-06-07,Focus,Triceps,Hamstrings,Harper Young,CL010,4_per_month
Hayden Klo,C001,09:30,Saturday,2025-06-21,Foundation,Shoulders,Center Glutes,Harper Young,CL010,4_per_month
Benton Watts,C006,10:00,Wednesday,2025-06-25,Foundation,Back,Hamstrings,Harper Young,CL010,4_per_month
Jon Flynn,C014,08:45,Monday,2025-07-07,Focus,Arm Wrap,Leg Wrap,Harper Young,CL010,4_per_month
Jon Flynn,C014,09:00,Thursday,2025-07-17,Focus,Triceps,Outer Glutes,Harper Young,CL010,4_per_month
Finley Yaroslavsky,C003,19:30,Friday,2025-07-18,Foundation,Triceps,Leg Wrap,Harper Young,CL010,4_per_month
Phoenix Green,C012,08:15,Sunday,2025-07-20,Foundation,Biceps,Hamstrings,Harper Young,CL010,4_per_month
Devon Knight,C005,09:15,Wednesday,2025-07-23,Foundation,Arm Wrap,Center Glutes,Harper Young,CL010,4_per_month
